obs_names,subclus,leiden_recl
Foster_2024.SMM8_pos:6883,Invar,0
Foster_2024.SMM8_pos:6897,Invar,0
Foster_2024.SMM8_pos:6904,Invar,0
Foster_2024.SMM8_pos:6948,Invar,1
Foster_2024.SMM8_pos:6973,Invar,1
Foster_2024.SMM8_pos:6979,Invar,1
Foster_2024.SMM8_pos:7005,Invar,1
Foster_2024.SMM8_pos:7020,Invar,0
Foster_2024.SMM8_pos:7106,Invar,3
Foster_2024.SMM8_pos:7151,Invar,1
Foster_2024.SMM8_pos:7173,Invar,0
Foster_2024.SMM8_pos:7214,Invar,1
Foster_2024.SMM8_pos:7234,Invar,1
Foster_2024.SMM8_pos:7288,Invar,1
Foster_2024.SMM8_pos:7299,Invar,0
Foster_2024.SMM8_pos:7302,Invar,1
Foster_2024.SMM8_pos:7315,Invar,1
Foster_2024.SMM8_pos:7320,Invar,1
Foster_2024.SMM8_pos:7362,Invar,0
Foster_2024.SMM8_pos:7384,Invar,1
Foster_2024.SMM8_pos:7414,Invar,0
Foster_2024.SMM8_pos:7425,Invar,1
Foster_2024.SMM8_pos:7433,Invar,0
Foster_2024.SMM8_pos:7582,Invar,0
Foster_2024.SMM8_pos:7639,Invar,0
Foster_2024.SMM8_pos:7796,Invar,0
Foster_2024.SMM8_pos:7912,Invar,1
Foster_2024.SMM8_pos:7921,Invar,1
Foster_2024.SMM8_pos:7924,Invar,1
Foster_2024.SMM8_pos:7932,Invar,0
Foster_2024.SMM8_pos:7980,Invar,1
Foster_2024.SMM8_pos:7987,Invar,0
Foster_2024.SMM8_pos:7993,Invar,0
Foster_2024.SMM8_pos:8026,Invar,0
Foster_2024.SMM8_pos:8029,Invar,1
Foster_2024.SMM8_pos:8089,Invar,1
Foster_2024.SMM8_pos:8092,Invar,2
Foster_2024.SMM8_pos:8103,Invar,0
Foster_2024.SMM8_pos:8151,Invar,0
Foster_2024.SMM8_pos:8173,Invar,1
Foster_2024.SMM8_pos:8329,Invar,1
Foster_2024.SMM8_pos:8343,Invar,1
Foster_2024.SMM8_pos:8349,Invar,1
Foster_2024.SMM8_pos:8378,Invar,0
Foster_2024.SMM8_pos:8416,Invar,1
Foster_2024.SMM8_pos:8431,Invar,1
Foster_2024.SMM8_pos:8456,Invar,1
Foster_2024.SMM8_pos:8505,Invar,0
Foster_2024.SMM8_pos:8520,Invar,1
Foster_2024.SMM8_pos:8527,Invar,1
Foster_2024.SMM8_pos:8546,Invar,0
Foster_2024.SMM8_pos:8548,Invar,1
Foster_2024.SMM8_pos:8575,Invar,0
Foster_2024.SMM8_pos:8688,Invar,1
Foster_2024.SMM8_pos:8741,Invar,0
Foster_2024.SMM8_pos:8746,Invar,0
Foster_2024.SMM8_pos:8763,Invar,1
Foster_2024.SMM8_pos:8764,Invar,0
Foster_2024.SMM8_pos:8773,Invar,1
Foster_2024.SMM8_pos:8797,Invar,0
Foster_2024.SMM8_pos:8811,Invar,1
Foster_2024.SMM8_pos:8966,Invar,1
Foster_2024.SMM8_pos:8969,Invar,1
