pathway,pathway_neat,gene
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL20
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL20RA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL20RB
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL21
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL21R
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL22
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL22RA1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL22RA2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL23A
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL23R
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL24
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL25
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL26
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL27
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL27RA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL2RA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL2RB
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL2RG
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL31
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL31RA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL32
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL33
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL34
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL36A
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL36B
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL36G
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL36RN
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL37
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL3RA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL4
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL4R
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL5
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL5RA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL6
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL6R
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL6ST
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL7
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL7R
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL9
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IL9R
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,INPP5D
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,INPPL1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IP6K2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRAK1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRAK2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRAK3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRAK4
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRF1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRF2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRF3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRF4
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRF5
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRF6
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRF7
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRF8
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRF9
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRS1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,IRS2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,ISG15
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,ISG20
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,ITGAM
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,ITGAX
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,ITGB1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,ITGB2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,JAK1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,JAK2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,JAK3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,JUN
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,JUNB
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,KPNA1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,KPNA2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,KPNA3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,KPNA4
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,KPNA5
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,KPNA7
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,KPNB1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,KRAS
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,LAMA5
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,LBP
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,LCK
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,LCN2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,LCP1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,LGALS9
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,LIF
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,LIFR
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,LMNB1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,LTA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,LTB
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,LTBR
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,LYN
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAOA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAP2K1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAP2K3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAP2K4
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAP2K6
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAP2K7
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAP3K14
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAP3K3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAP3K7
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAP3K8
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAPK1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAPK10
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAPK11
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAPK14
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAPK3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAPK7
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAPK8
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAPK9
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAPKAPK2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MAPKAPK3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MCL1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MEF2A
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MEF2C
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MID1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MIF
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MMP1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MMP2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MMP3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MMP9
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MSN
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MT2A
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MTAP
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MUC1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MX1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MX2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MYC
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,MYD88
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NANOG
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NCAM1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NDC1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NDN
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NEDD4
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NFKB1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NFKB2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NFKBIA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NFKBIB
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NKIRAS1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NKIRAS2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NOD1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NOD2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NOS2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NRAS
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP107
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP133
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP153
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP155
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP160
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP188
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP205
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP210
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP214
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP35
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP37
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP42
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP43
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP50
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP54
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP58
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP62
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP85
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP88
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP93
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,NUP98
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,OAS1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,OAS2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,OAS3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,OASL
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,OPRD1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,OPRM1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,OSM
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,OSMR
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,P4HB
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PAK2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PDCD4
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PDE12
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PELI1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PELI2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PELI3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PIAS1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PIK3CA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PIK3CB
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PIK3CD
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PIK3R1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PIK3R2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PIK3R3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PIM1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PIN1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PITPNA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PLCG1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PML
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,POM121
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,POM121C
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,POMC
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,POU2F1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PPIA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PPM1B
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PPP2CA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PPP2CB
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PPP2R1A
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PPP2R1B
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PPP2R5D
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PRKACA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PRKCD
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PRL
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PRLR
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PRTN3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMA1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMA2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMA3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMA4
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMA5
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMA6
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMA7
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMA8
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMB1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMB10
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMB11
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMB2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMB3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMB4
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMB5
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMB6
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMB7
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMB8
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMB9
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMC1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMC2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMC3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMC4
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMC5
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMC6
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD10
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD11
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD12
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD13
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD14
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD4
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD5
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD6
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD7
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD8
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMD9
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSME1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSME2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSME3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSME4
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PSMF1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTAFR
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTGS2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTK2B
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN11
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN12
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN13
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN14
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN18
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN20
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN23
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN4
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN5
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN6
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN7
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPN9
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPRJ
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,PTPRZ1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RAE1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RAG1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RAG2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RALA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RANBP2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RAP1B
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RAPGEF1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RBX1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RELA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RELB
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RHOU
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RIPK2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RNASEL
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RNF7
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RORA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RORC
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RPLP0
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RPS27A
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RPS6KA1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RPS6KA2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RPS6KA3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RPS6KA5
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,RSAD2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,S100A12
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,S100B
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,S1PR1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SAA1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SAMHD1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SDC1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SEC13
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SEH1L
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SEM1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SERPINB2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SH2B1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SH2B3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SHC1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SIGIRR
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SKP1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SLA
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SLA2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SMAD3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,,SMARCA4
