pathway,pathway_neat,gene
MP7 Stress (in vitro),Stress (in vitro),SARS
MP7 Stress (in vitro),Stress (in vitro),SNHG8
MP7 Stress (in vitro),Stress (in vitro),ZFAS1
MP7 Stress (in vitro),Stress (in vitro),DDIT4
MP7 Stress (in vitro),Stress (in vitro),PHGDH
MP7 Stress (in vitro),Stress (in vitro),SHMT2
MP7 Stress (in vitro),Stress (in vitro),TXNIP
MP7 Stress (in vitro),Stress (in vitro),ATF4
MP7 Stress (in vitro),Stress (in vitro),HSPA5
MP7 Stress (in vitro),Stress (in vitro),GDF15
MP7 Stress (in vitro),Stress (in vitro),CARS
MP7 Stress (in vitro),Stress (in vitro),MAP1LC3B
MP7 Stress (in vitro),Stress (in vitro),SQSTM1
MP7 Stress (in vitro),Stress (in vitro),YARS
MP7 Stress (in vitro),Stress (in vitro),DNAJB9
MP7 Stress (in vitro),Stress (in vitro),PSAT1
MP7 Stress (in vitro),Stress (in vitro),GADD45B
MP7 Stress (in vitro),Stress (in vitro),ATF3
MP7 Stress (in vitro),Stress (in vitro),SNHG15
MP7 Stress (in vitro),Stress (in vitro),RSRC2
MP7 Stress (in vitro),Stress (in vitro),CEBPB
MP7 Stress (in vitro),Stress (in vitro),ARF4
MP7 Stress (in vitro),Stress (in vitro),EIF1B
MP7 Stress (in vitro),Stress (in vitro),OSER1
MP7 Stress (in vitro),Stress (in vitro),BTG1
MP7 Stress (in vitro),Stress (in vitro),SNHG7
MP7 Stress (in vitro),Stress (in vitro),WARS
MP7 Stress (in vitro),Stress (in vitro),ZFAND2A
MP7 Stress (in vitro),Stress (in vitro),C6ORF48
MP7 Stress (in vitro),Stress (in vitro),STC2
MP7 Stress (in vitro),Stress (in vitro),ZNF622
MP7 Stress (in vitro),Stress (in vitro),HSPA9
MP7 Stress (in vitro),Stress (in vitro),PDRG1
MP7 Stress (in vitro),Stress (in vitro),UPP1
MP7 Stress (in vitro),Stress (in vitro),CCDC174
MP8 Proteasomal degradation,Proteasomal degradation,PSMA3
MP8 Proteasomal degradation,Proteasomal degradation,PSMC4
